EDULIT_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
CR_1,"Completion rate, primary education, both sexes (%)",BLZ,Belize,2016,2016,96.18351,,
CR_1,"Completion rate, primary education, both sexes (%)",CMR,Cameroon,2014,2014,73.64866,,
CR_1,"Completion rate, primary education, both sexes (%)",CHL,Chile,2013,2013,95.88,,
CR_1,"Completion rate, primary education, both sexes (%)",CHL,Chile,2015,2015,96.7,,
CR_1,"Completion rate, primary education, both sexes (%)",COG,Congo,2012,2012,74.22485,,
CR_1,"Completion rate, primary education, both sexes (%)",COG,Congo,2015,2015,80.00717,,
CR_1,"Completion rate, primary education, both sexes (%)",CRI,Costa Rica,2012,2012,93.41,,
CR_1,"Completion rate, primary education, both sexes (%)",CRI,Costa Rica,2013,2013,93.44,,
CR_1,"Completion rate, primary education, both sexes (%)",CRI,Costa Rica,2014,2014,94.51,,
CR_1,"Completion rate, primary education, both sexes (%)",CRI,Costa Rica,2015,2015,94.7,,
CR_1,"Completion rate, primary education, both sexes (%)",CRI,Costa Rica,2016,2016,95.33,,
CR_1,"Completion rate, primary education, both sexes (%)",CIV,C̫te d'Ivoire,2012,2012,44.30314,,
CR_1,"Completion rate, primary education, both sexes (%)",CIV,C̫te d'Ivoire,2016,2016,56.68524,,
CR_1,"Completion rate, primary education, both sexes (%)",DOM,Dominican Republic,2012,2012,88.06,,
CR_1,"Completion rate, primary education, both sexes (%)",DOM,Dominican Republic,2013,2013,89.47863,,
CR_1,"Completion rate, primary education, both sexes (%)",DOM,Dominican Republic,2014,2014,91.51656,,
CR_1,"Completion rate, primary education, both sexes (%)",DOM,Dominican Republic,2015,2015,89.56,,
CR_1,"Completion rate, primary education, both sexes (%)",DOM,Dominican Republic,2016,2016,89.72,,
CR_1,"Completion rate, primary education, both sexes (%)",EGY,Egypt,2014,2014,90.86884,,
CR_1,"Completion rate, primary education, both sexes (%)",ETH,Ethiopia,2016,2016,47.13136,,
CR_1,"Completion rate, primary education, both sexes (%)",GMB,Gambia,2013,2013,61.99319,,
